199838,199822
199828,199838
199834,199828
199852,199834
199836,199852
199826,199836
199850,199836
199848,199850
199824,199826
199846,199848
199830,199824
199854,199846
215798,199830
215800,215798
199840,215798
199844,215800
199832,199844
200016,199832
215852,200016
215844,215852
215846,215844
215854,215844
215848,215846
215836,215848
215850,215848
215834,215836
215842,215836
215832,215834
215840,215832
215830,215840
215838,215840
199892,215830
215856,215838
199880,199892
199886,199892
215858,215856
199888,199886
199898,199886
199890,199880
215922,215858
199878,199888
199900,199888
199896,199890
215862,215922
199884,199878
199882,199896
215916,215862
199894,199882
215860,215916
215802,199894
199872,199894
215864,215860
199868,199872
215804,215802
215866,215864
199866,199868
215814,215804
199864,199866
215816,215814
199870,199864
215820,215816
199860,199870
215822,215820
199858,199860
215818,215822
199856,199858
199874,199858
215810,215818
215826,215818
199862,199856
215806,199874
215812,215810
215824,215826
190966,215812
190968,190966
209582,190966
190970,190968
190972,209582
190974,209582
190964,190970
209580,190970
190994,190972
190960,209580
190996,190994
190958,190960
199876,190960
191000,190996
209598,190996
190962,190958
215808,199876
190998,191000
191002,191000
190954,209598
191004,190998
191006,191004
190992,191006
191008,190992
191010,191008
199822,217273
